diagram_key,threat_key
dg_admin_portal_0101,dg_admin_portal_0101_th_elevation_of_privilege_1_63ef28
dg_admin_portal_0101,dg_admin_portal_0101_th_information_disclosure_2_e5b5bb
dg_admin_portal_0101,dg_admin_portal_0101_th_spoofing_3_a0ac24
dg_admin_portal_0101,dg_admin_portal_0101_th_sql_injection_4_e3f2f5
dg_admin_portal_0101,dg_admin_portal_0101_th_tampering_5_5dd731
dg_admin_portal_0102,dg_admin_portal_0102_th_elevation_of_privilege_1_eb66d7
dg_admin_portal_0102,dg_admin_portal_0102_th_information_disclosure_2_415c89
dg_admin_portal_0102,dg_admin_portal_0102_th_spoofing_3_7da3a4
dg_admin_portal_0103,dg_admin_portal_0103_th_elevation_of_privilege_1_3af6bc
dg_admin_portal_0103,dg_admin_portal_0103_th_information_disclosure_2_431558
dg_admin_portal_0103,dg_admin_portal_0103_th_spoofing_3_f6a76f
dg_admin_portal_0103,dg_admin_portal_0103_th_sql_injection_4_b6225c
dg_admin_portal_0103,dg_admin_portal_0103_th_tampering_5_4cc7bc
dg_admin_portal_0104,dg_admin_portal_0104_th_elevation_of_privilege_1_072168
dg_admin_portal_0104,dg_admin_portal_0104_th_information_disclosure_2_1af2b8
dg_admin_portal_0104,dg_admin_portal_0104_th_man_in_the_middle_3_f7bf63
dg_admin_portal_0104,dg_admin_portal_0104_th_spoofing_4_9a18c0
dg_admin_portal_0104,dg_admin_portal_0104_th_sql_injection_5_ce0fbf
dg_admin_portal_0104,dg_admin_portal_0104_th_tampering_6_141b96
dg_admin_portal_0105,dg_admin_portal_0105_th_elevation_of_privilege_1_1e2cb6
dg_admin_portal_0105,dg_admin_portal_0105_th_information_disclosure_2_326120
dg_admin_portal_0105,dg_admin_portal_0105_th_spoofing_3_1dfb77
dg_admin_portal_0106,dg_admin_portal_0106_th_elevation_of_privilege_1_029b9e
dg_admin_portal_0106,dg_admin_portal_0106_th_information_disclosure_2_d0e559
dg_admin_portal_0106,dg_admin_portal_0106_th_spoofing_3_12014a
dg_admin_portal_0107,dg_admin_portal_0107_th_elevation_of_privilege_1_2b64f8
dg_admin_portal_0107,dg_admin_portal_0107_th_information_disclosure_2_fb2ada
dg_admin_portal_0107,dg_admin_portal_0107_th_man_in_the_middle_3_2ee159
dg_admin_portal_0107,dg_admin_portal_0107_th_spoofing_4_9cfca7
dg_admin_portal_0108,dg_admin_portal_0108_th_elevation_of_privilege_1_c66d19
dg_admin_portal_0108,dg_admin_portal_0108_th_information_disclosure_2_d52003
dg_admin_portal_0108,dg_admin_portal_0108_th_man_in_the_middle_3_5ff8aa
dg_admin_portal_0108,dg_admin_portal_0108_th_spoofing_4_463378
dg_admin_portal_0109,dg_admin_portal_0109_th_elevation_of_privilege_1_046edb
dg_admin_portal_0109,dg_admin_portal_0109_th_information_disclosure_2_1327cc
dg_admin_portal_0109,dg_admin_portal_0109_th_spoofing_3_7bd830
dg_admin_portal_0110,dg_admin_portal_0110_th_elevation_of_privilege_1_a80223
dg_admin_portal_0110,dg_admin_portal_0110_th_information_disclosure_2_cd823e
dg_admin_portal_0110,dg_admin_portal_0110_th_spoofing_3_bd4b3f
dg_admin_portal_0111,dg_admin_portal_0111_th_elevation_of_privilege_1_5ee695
dg_admin_portal_0111,dg_admin_portal_0111_th_information_disclosure_2_ae330c
dg_admin_portal_0111,dg_admin_portal_0111_th_man_in_the_middle_3_8e8de0
dg_admin_portal_0111,dg_admin_portal_0111_th_spoofing_4_7c2a53
dg_admin_portal_0112,dg_admin_portal_0112_th_elevation_of_privilege_1_d104a9
dg_admin_portal_0112,dg_admin_portal_0112_th_information_disclosure_2_c54dfb
dg_admin_portal_0112,dg_admin_portal_0112_th_spoofing_3_bf8ee7
dg_admin_portal_0113,dg_admin_portal_0113_th_elevation_of_privilege_1_bbb98b
dg_admin_portal_0113,dg_admin_portal_0113_th_information_disclosure_2_9de392
dg_admin_portal_0113,dg_admin_portal_0113_th_spoofing_3_33e873
dg_admin_portal_0114,dg_admin_portal_0114_th_elevation_of_privilege_1_a850b5
dg_admin_portal_0114,dg_admin_portal_0114_th_information_disclosure_2_5556a6
dg_admin_portal_0114,dg_admin_portal_0114_th_man_in_the_middle_3_ef96af
dg_admin_portal_0114,dg_admin_portal_0114_th_spoofing_4_37465c
dg_admin_portal_0115,dg_admin_portal_0115_th_elevation_of_privilege_1_5199c4
